Id,Label,Type, latidude, longitude,Latitude,Longitude
180,AM 230,Rodovia,-3.1171157,-60.0493607
181,CE 20,Rodovia,-3.7796451,-38.5379358
182,RN 20,Rodovia,-4.5893961,-44.6056782
183,PI 20,Rodovia,-20.2791728,-40.3004351
184,BA 418,Rodovia,-18.0009708,-39.8676297
185,MG 418,Rodovia,-18.8121364,-41.0089615
186,RN 405,Rodovia,-5.4751518,-37.2220995
187,PB 405,Rodovia,-6.4981755,-38.3965355
188,PE 424,Rodovia,-9.9508338,-67.8311911
189,AL 424,Rodovia,-9.9518722,-67.8281316
190,RS 448,Rodovia,-29.6843673,-53.799394
191,RN 226,Rodovia,-5.2137269,-37.3324372
192,CE 226,Rodovia,-3.798898,-38.548872
193,RO 319,Rodovia,-32.9320393,-60.7199315
194,AM 319,Rodovia,-16.3469483,-48.8794688
195,AC 319,Rodovia,-9.9459039,-67.8137915
196,RS 153,Rodovia,-29.7179353,-53.7647199
197,GO 414,Rodovia,-16.8951395,-49.0878642
198,DF 414,Rodovia,-15.8337505,-47.9156695
199,BA 415,Rodovia,-14.8619964,-40.7835419
200,MG 415,Rodovia,-18.4446599,-45.1888704
201,MS 463,Rodovia,-22.6148453,-55.5887899
202,PY 463,Rodovia,-22.9277678,-43.0138256
203,PB 116,Rodovia,-7.1175705,-34.8484663
204,PE 116,Rodovia,-17.6345594,-71.3371431
205,RR 401,Rodovia,-14.3397694,-42.6955426
206,RR 432,Rodovia,1.519729,-60.332011
207,RR 174,Rodovia,2.8271487,-60.8057788
208,PA 222,Rodovia,-1.3250903,-48.4308477
209,PR 267,Rodovia,-25.680836,-49.5368801
210,AP 210,Rodovia,-16.34751,-48.8779606
211,AP 156,Rodovia,-16.34751,-48.8779606
212,AP 317,Rodovia,-16.34751,-48.8779606
213,SP 459,Rodovia,-23.6311312,-46.5305358
214,MG 459,Rodovia,-22.2892391,-46.3930167
215,TO 230,Rodovia,-7.5747323,-49.3190358
216,BA 407,Rodovia,-11.5162524,-40.0241228
217,BA 349,Rodovia,-18.0694224,-39.5629541
218,SE 349,Rodovia,-21.647616,-41.7513529
219,GO 349,Rodovia,-17.7178113,-49.1015768
220,RO 435,Rodovia,-22.4756897,-43.1691784
221,MT 435,Rodovia,-15.1033319,-58.4791304
222,RO 429,Rodovia,-11.1998901,-61.9511895
223,ES 259,Rodovia,-21.0588749,-41.3599999
224,MG 259,Rodovia,-22.1159127,-51.407627
225,PA 155,Rodovia,-1.6990269,-48.426793
226,TO 155,Rodovia,-29.7177937,-53.7645884
227,BA 330,Rodovia,-11.3113688,-41.8560789
228,MA 330,Rodovia,-5.0860031,-42.8357493
229,MG 330,Rodovia,-15.4919442,-42.1974361
230,RJ 459,Rodovia,-23.2233059,-44.7337597
231,PB 361,Rodovia,-7.0570266,-37.396028
232,PE 361,Rodovia,-7.7556408,-38.7245128
233,SP 488,Rodovia,-22.8630279,-46.9816663
234,RR 319,Rodovia,3.4085452,-60.3838085
235,MA 402,Rodovia,-2.8563332,-42.9247836
236,PI 402,Rodovia,-6.9466771,-41.5195937
237,CE 402,Rodovia,-23.6336475,-46.6065924
238,MS 436,Rodovia,-18.5172295,-53.7525276
239,PR 436,Rodovia,-23.1210219,-50.3605208
240,BA 410,Rodovia,-18.0756285,-39.5663024
241,AM 317,Rodovia,-16.3469483,-48.8794688
242,PR 467,Rodovia,-23.3108612,-51.1594919
243,SC 467,Rodovia,-27.2851883,-51.6566861
244,AM 174,Rodovia,-5.3588162,-60.150219
245,MS 376,Rodovia,-22.2827528,-53.3769035
