Source,Target,Weight
61,14,0.1537010780666797
62,14,0.26224418552403733
62,93,0.27066016633342566
63,15,0.09666641758443888
64,104,0.13703270698932304
64,108,0.24111652236652237
65,36,0.11881130679324478
65,155,0.059160328474894705
66,46,0.1587773465835695
66,67,0.06766595289079229
67,66,0.06766595289079229
67,217,0.0
68,132,0.3995751710972017
68,19,0.2748321026480424
69,84,0.0774659374400307
69,70,0.17928145518912117
70,47,0.182390815861702
70,69,0.17928145518912117
71,52,0.20796698467977962
71,22,0.2989535637586612
73,40,0.08413256577297526
73,50,0.07570894142603495
74,125,0.3236889815837184
74,117,0.18487565157700434
75,9,0.1282635348821621
75,173,0.14171251491449025
76,7,0.1717008481714364
76,105,0.13575313575313575
77,116,0.06856100104275287
78,55,0.16347841109046918
78,187,0.39071606321436647
79,104,0.17817824771487217
79,108,0.28226206309207147
80,42,0.22029928701707843
80,89,0.12585062074689626
82,85,0.17947876015569764
82,244,0.12009037191518943
83,62,0.3206797747258176
83,105,0.1386089006778662
84,70,0.11477848071205342
84,46,0.09759287517425869
85,115,0.3424298628948861
85,82,0.17947876015569764
87,66,0.08890147412631352
87,249,0.021235521235521235
88,7,0.18782993966817496
88,188,0.17179910955207772
89,80,0.12585062074689626
89,23,0.09000854343675008
90,141,0.10965471192041737
90,160,0.29057597512323396
91,59,0.0316762048295011
91,16,0.02833124284607845
92,195,0.15536799226732945
92,233,0.10456092911057505
93,65,0.10834931250760169
93,62,0.27066016633342566
94,189,0.10508002783576896
94,95,0.13797253376998395
95,59,0.060295206490211806
95,94,0.13797253376998395
96,150,0.28898190302994503
96,139,0.39006625803409684
97,52,0.05277834818137782
97,111,0.06373112625331823
98,64,0.15077169758269815
98,108,0.23604406410506468
99,2,0.15716144405978932
99,17,0.1793358251943496
100,44,0.2258553274682307
100,80,0.20753872586942052
101,57,0.21695181736589042
101,21,0.1945409803838971
102,62,0.23827360609548948
103,203,0.13477229601518026
103,73,0.11911147335840346
104,79,0.17817824771487217
104,64,0.13703270698932304
105,76,0.13575313575313575
105,83,0.1386089006778662
106,30,0.16121047136038186
106,123,0.5640091537342387
107,42,0.29445234708392604
108,64,0.24111652236652237
108,79,0.28226206309207147
109,74,0.2250732033340729
109,120,0.28699761771750365
110,2,0.10820202967876633
110,37,0.16128944565887562
111,48,0.05142620428453071
111,97,0.06373112625331823
113,105,0.13791428395744942
113,7,0.1738619963757501
114,140,0.4303571428571429
115,85,0.3424298628948861
115,203,0.28661290322580646
116,77,0.06856100104275287
117,74,0.18487565157700434
117,228,0.1403946423901128
118,18,0.34115197596426267
118,155,0.22266599151845054
119,142,0.1988954216747913
119,249,0.0830945558739255
120,109,0.28699761771750365
120,251,0.1994535519125683
121,103,0.05977229601518026
121,183,0.024390243902439025
122,65,0.05627905674116395
122,97,0.042162319473243844
123,106,0.5640091537342387
123,30,0.40709462509462047
124,101,0.36056518372937885
124,57,0.3219038750158219
125,150,0.28846531955890364
125,197,0.2813979392926761
126,205,0.13532763532763534
127,60,0.31551046390026743
128,50,0.0754103544887158
128,161,0.10954564091095456
129,17,0.10886975956983327
129,46,0.12407842665981017
130,237,0.29475587703435807
130,90,0.38023476477895124
131,21,0.09655093110564134
131,57,0.11896176808763465
132,47,0.32487484474814227
132,68,0.3995751710972017
133,226,0.3961992379890345
133,251,0.07266982622432859
134,43,0.31097857023271386
134,146,0.149768875192604
135,168,0.21794676086750886
136,17,0.13038214548899885
136,129,0.08744645185323152
137,14,0.09741338504527339
138,26,0.23861914600550965
139,96,0.39006625803409684
139,150,0.3056953060127974
140,114,0.4303571428571429
141,23,0.0397141149638375
141,90,0.10965471192041737
142,119,0.1988954216747913
142,124,0.348559486490521
143,19,0.2672717259016192
143,109,0.2287778320387016
144,60,0.185638950077347
145,151,0.3280241067585019
146,43,0.2425656272434997
146,134,0.149768875192604
147,171,0.3402777777777778
148,174,0.4346957795233657
148,176,0.30035449564937156
149,108,0.2725694444444444
149,64,0.18729707792207792
150,96,0.28898190302994503
150,125,0.28846531955890364
151,8,0.20112876254180603
152,179,0.14752752053118995
153,165,0.02717391304347826
154,96,0.18667642752562225
154,150,0.10230547550432277
155,65,0.059160328474894705
155,30,0.020180758245627765
156,22,0.22451957460255612
156,141,0.13194127583984955
157,200,0.01824817518248175
158,9,0.28401141990026746
159,135,0.30279634454892185
159,9,0.26351113933826326
160,90,0.29057597512323396
160,244,0.2765256588072122
161,128,0.10954564091095456
161,41,0.09794192885241088
162,13,0.2246008844045017
163,132,0.3350056270474935
164,248,0.06088560885608856
165,153,0.02717391304347826
166,41,0.19603827694875897
167,10,0.015142690739662202
167,153,0.0
168,135,0.21794676086750886
169,211,0.24358974358974358
169,222,0.4014844804318488
170,151,0.14782608695652175
171,147,0.3402777777777778
172,60,0.31324438893095385
172,78,0.2924014564727935
173,9,0.16418259891504028
174,148,0.4346957795233657
175,69,0.20611959109368438
176,190,0.16259374639436944
