Id,Label,Type
272,Acidentes Graves (BA 324),Acidentes Graves
273,Acidentes com Feridos (BA 324),Acidentes com Feridos
274,Acidentes Leves (BA 324),Acidentes Leves
275,CE 116,Rodovia
276,Total de Acidentes (CE 116),Total de Acidentes
277,Acidentes Graves (CE 116),Acidentes Graves
278,Acidentes com Feridos (CE 116),Acidentes com Feridos
279,Acidentes Leves (CE 116),Acidentes Leves
280,RS 290,Rodovia
281,Total de Acidentes (RS 290),Total de Acidentes
282,Acidentes Graves (RS 290),Acidentes Graves
283,Acidentes com Feridos (RS 290),Acidentes com Feridos
284,Acidentes Leves (RS 290),Acidentes Leves
285,AL 101,Rodovia
286,Total de Acidentes (AL 101),Total de Acidentes
287,Acidentes Graves (AL 101),Acidentes Graves
288,Acidentes com Feridos (AL 101),Acidentes com Feridos
289,Acidentes Leves (AL 101),Acidentes Leves
290,GO 70,Rodovia
291,Total de Acidentes (GO 70),Total de Acidentes
292,Acidentes Graves (GO 70),Acidentes Graves
293,Acidentes com Feridos (GO 70),Acidentes com Feridos
294,Acidentes Leves (GO 70),Acidentes Leves
295,BA 101,Rodovia
296,Total de Acidentes (BA 101),Total de Acidentes
297,Acidentes Graves (BA 101),Acidentes Graves
298,Acidentes com Feridos (BA 101),Acidentes com Feridos
299,Acidentes Leves (BA 101),Acidentes Leves
300,GO 364,Rodovia
301,Total de Acidentes (GO 364),Total de Acidentes
302,Acidentes Graves (GO 364),Acidentes Graves
303,Acidentes com Feridos (GO 364),Acidentes com Feridos
304,Acidentes Leves (GO 364),Acidentes Leves
305,GO 50,Rodovia
306,Total de Acidentes (GO 50),Total de Acidentes
307,Acidentes Graves (GO 50),Acidentes Graves
308,Acidentes com Feridos (GO 50),Acidentes com Feridos
309,Acidentes Leves (GO 50),Acidentes Leves
310,SP 381,Rodovia
311,Total de Acidentes (SP 381),Total de Acidentes
312,Acidentes Graves (SP 381),Acidentes Graves
313,Acidentes com Feridos (SP 381),Acidentes com Feridos
314,Acidentes Leves (SP 381),Acidentes Leves
315,PI 222,Rodovia
316,Total de Acidentes (PI 222),Total de Acidentes
317,Acidentes Graves (PI 222),Acidentes Graves
318,Acidentes com Feridos (PI 222),Acidentes com Feridos
319,Acidentes Leves (PI 222),Acidentes Leves
320,RJ 40,Rodovia
321,Total de Acidentes (RJ 40),Total de Acidentes
322,Acidentes Graves (RJ 40),Acidentes Graves
323,Acidentes com Feridos (RJ 40),Acidentes com Feridos
324,Acidentes Leves (RJ 40),Acidentes Leves
325,SC 470,Rodovia
326,Total de Acidentes (SC 470),Total de Acidentes
327,Acidentes Graves (SC 470),Acidentes Graves
328,Acidentes com Feridos (SC 470),Acidentes com Feridos
329,Acidentes Leves (SC 470),Acidentes Leves
330,SC 480,Rodovia
331,Total de Acidentes (SC 480),Total de Acidentes
332,Acidentes com Feridos (SC 480),Acidentes com Feridos
333,Acidentes Leves (SC 480),Acidentes Leves
334,PA 316,Rodovia
335,Total de Acidentes (PA 316),Total de Acidentes
336,Acidentes Graves (PA 316),Acidentes Graves
337,Acidentes com Feridos (PA 316),Acidentes com Feridos
338,Acidentes Leves (PA 316),Acidentes Leves
339,PR 163,Rodovia
340,Total de Acidentes (PR 163),Total de Acidentes
341,Acidentes Graves (PR 163),Acidentes Graves
342,Acidentes com Feridos (PR 163),Acidentes com Feridos
343,Acidentes Leves (PR 163),Acidentes Leves
344,MS 163,Rodovia
345,Total de Acidentes (MS 163),Total de Acidentes
346,Acidentes Graves (MS 163),Acidentes Graves
347,Acidentes com Feridos (MS 163),Acidentes com Feridos
348,Acidentes Leves (MS 163),Acidentes Leves
349,MG 116,Rodovia
350,Total de Acidentes (MG 116),Total de Acidentes
351,Acidentes Graves (MG 116),Acidentes Graves
352,Acidentes com Feridos (MG 116),Acidentes com Feridos
353,Acidentes Leves (MG 116),Acidentes Leves
354,MG 267,Rodovia
355,Total de Acidentes (MG 267),Total de Acidentes
356,Acidentes Graves (MG 267),Acidentes Graves
357,Acidentes com Feridos (MG 267),Acidentes com Feridos
358,Acidentes Leves (MG 267),Acidentes Leves
359,RN 304,Rodovia
360,Total de Acidentes (RN 304),Total de Acidentes
361,Acidentes Graves (RN 304),Acidentes Graves
362,Acidentes com Feridos (RN 304),Acidentes com Feridos
363,Acidentes Leves (RN 304),Acidentes Leves
364,PA 10,Rodovia
365,Total de Acidentes (PA 10),Total de Acidentes
366,Acidentes Graves (PA 10),Acidentes Graves
367,Acidentes com Feridos (PA 10),Acidentes com Feridos
368,Acidentes Leves (PA 10),Acidentes Leves
369,AC 364,Rodovia
370,Total de Acidentes (AC 364),Total de Acidentes
371,Acidentes Graves (AC 364),Acidentes Graves
372,Acidentes com Feridos (AC 364),Acidentes com Feridos
373,Acidentes Leves (AC 364),Acidentes Leves
374,MS 158,Rodovia
375,Total de Acidentes (MS 158),Total de Acidentes
376,Acidentes Graves (MS 158),Acidentes Graves
377,Acidentes com Feridos (MS 158),Acidentes com Feridos
378,Acidentes Leves (MS 158),Acidentes Leves
379,MG 146,Rodovia
380,Total de Acidentes (MG 146),Total de Acidentes
381,Acidentes Graves (MG 146),Acidentes Graves
382,Acidentes com Feridos (MG 146),Acidentes com Feridos
383,Acidentes Leves (MG 146),Acidentes Leves
384,BA 242,Rodovia
385,Total de Acidentes (BA 242),Total de Acidentes
386,Acidentes Graves (BA 242),Acidentes Graves
387,Acidentes com Feridos (BA 242),Acidentes com Feridos
388,Acidentes Leves (BA 242),Acidentes Leves
389,MA 135,Rodovia
390,Total de Acidentes (MA 135),Total de Acidentes
391,Acidentes Graves (MA 135),Acidentes Graves
392,Acidentes com Feridos (MA 135),Acidentes com Feridos
393,Acidentes Leves (MA 135),Acidentes Leves
394,PE 408,Rodovia
395,Total de Acidentes (PE 408),Total de Acidentes
396,Acidentes Graves (PE 408),Acidentes Graves
397,Acidentes com Feridos (PE 408),Acidentes com Feridos
398,Acidentes Leves (PE 408),Acidentes Leves
399,MS NA,Rodovia
400,Total de Acidentes (MS NA),Total de Acidentes
401,Acidentes Leves (MS NA),Acidentes Leves
402,AL 104,Rodovia
403,Total de Acidentes (AL 104),Total de Acidentes
404,Acidentes Graves (AL 104),Acidentes Graves
405,Acidentes com Feridos (AL 104),Acidentes com Feridos
406,Acidentes Leves (AL 104),Acidentes Leves
407,GO 452,Rodovia
408,Total de Acidentes (GO 452),Total de Acidentes
409,Acidentes Graves (GO 452),Acidentes Graves
410,Acidentes com Feridos (GO 452),Acidentes com Feridos
411,Acidentes Leves (GO 452),Acidentes Leves
412,SC 163,Rodovia
413,Total de Acidentes (SC 163),Total de Acidentes
414,Acidentes Graves (SC 163),Acidentes Graves
415,Acidentes com Feridos (SC 163),Acidentes com Feridos
416,Acidentes Leves (SC 163),Acidentes Leves
417,PE 104,Rodovia
418,Total de Acidentes (PE 104),Total de Acidentes
419,Acidentes Graves (PE 104),Acidentes Graves
420,Acidentes com Feridos (PE 104),Acidentes com Feridos
421,Acidentes Leves (PE 104),Acidentes Leves
422,RJ NA,Rodovia
423,Total de Acidentes (RJ NA),Total de Acidentes
424,Acidentes com Feridos (RJ NA),Acidentes com Feridos
425,Acidentes Leves (RJ NA),Acidentes Leves
426,RS 470,Rodovia
427,Total de Acidentes (RS 470),Total de Acidentes
428,Acidentes Graves (RS 470),Acidentes Graves
429,Acidentes com Feridos (RS 470),Acidentes com Feridos
430,Acidentes Leves (RS 470),Acidentes Leves
431,PR 158,Rodovia
432,Total de Acidentes (PR 158),Total de Acidentes
433,Acidentes Graves (PR 158),Acidentes Graves
434,Acidentes com Feridos (PR 158),Acidentes com Feridos
435,Acidentes Leves (PR 158),Acidentes Leves
436,PE 232,Rodovia
437,Total de Acidentes (PE 232),Total de Acidentes
438,Acidentes Graves (PE 232),Acidentes Graves
439,Acidentes com Feridos (PE 232),Acidentes com Feridos
440,Acidentes Leves (PE 232),Acidentes Leves
441,PE 423,Rodovia
442,Total de Acidentes (PE 423),Total de Acidentes
443,Acidentes Graves (PE 423),Acidentes Graves
444,Acidentes com Feridos (PE 423),Acidentes com Feridos
445,Acidentes Leves (PE 423),Acidentes Leves
446,DF 70,Rodovia
447,Total de Acidentes (DF 70),Total de Acidentes
448,Acidentes Graves (DF 70),Acidentes Graves
